[Arguments] => mode: train, epoches: 20, batch: 8, load: first, save: second


Eva[01/20]: 001/128, [>                                                 ],   0.78%, loss=0.2341, total=0.2341
Eva[01/20]: 002/128, [>                                                 ],   1.56%, loss=0.3870, total=0.6211
Eva[01/20]: 003/128, [=>                                                ],   2.34%, loss=0.2675, total=0.8886
Eva[01/20]: 004/128, [=>                                                ],   3.12%, loss=0.4271, total=1.3156
Eva[01/20]: 005/128, [=>                                                ],   3.91%, loss=0.2690, total=1.5846
Eva[01/20]: 006/128, [==>                                               ],   4.69%, loss=0.2595, total=1.8441
Eva[01/20]: 007/128, [==>                                               ],   5.47%, loss=0.3433, total=2.1874
Eva[01/20]: 008/128, [===>                                              ],   6.25%, loss=0.3020, total=2.4895
Eva[01/20]: 009/128, [===>                                              ],   7.03%, loss=0.3007, total=2.7901
Eva[01/20]: 010/128, [===>                                              ],   7.81%, loss=0.2855, total=3.0757
Eva[01/20]: 011/128, [====>                                             ],   8.59%, loss=0.3023, total=3.3780
Eva[01/20]: 012/128, [====>                                             ],   9.38%, loss=0.2226, total=3.6005
Eva[01/20]: 013/128, [=====>                                            ],  10.16%, loss=0.2288, total=3.8293
Eva[01/20]: 014/128, [=====>                                            ],  10.94%, loss=0.2500, total=4.0793
Eva[01/20]: 015/128, [=====>                                            ],  11.72%, loss=0.2799, total=4.3591
Eva[01/20]: 016/128, [======>                                           ],  12.50%, loss=0.2631, total=4.6222
Eva[01/20]: 017/128, [======>                                           ],  13.28%, loss=0.2827, total=4.9049
Eva[01/20]: 018/128, [=======>                                          ],  14.06%, loss=0.2858, total=5.1907
Eva[01/20]: 019/128, [=======>                                          ],  14.84%, loss=0.2861, total=5.4768
Eva[01/20]: 020/128, [=======>                                          ],  15.62%, loss=0.2676, total=5.7444
Eva[01/20]: 021/128, [========>                                         ],  16.41%, loss=0.2390, total=5.9835
Eva[01/20]: 022/128, [========>                                         ],  17.19%, loss=0.2379, total=6.2213
Eva[01/20]: 023/128, [========>                                         ],  17.97%, loss=0.2375, total=6.4589
Eva[01/20]: 024/128, [=========>                                        ],  18.75%, loss=0.2089, total=6.6678
Eva[01/20]: 025/128, [=========>                                        ],  19.53%, loss=0.2701, total=6.9379
Eva[01/20]: 026/128, [==========>                                       ],  20.31%, loss=0.7374, total=7.6752
Eva[01/20]: 027/128, [==========>                                       ],  21.09%, loss=0.2339, total=7.9091
Eva[01/20]: 028/128, [==========>                                       ],  21.88%, loss=0.3304, total=8.2395
Eva[01/20]: 029/128, [===========>                                      ],  22.66%, loss=0.2379, total=8.4773
Eva[01/20]: 030/128, [===========>                                      ],  23.44%, loss=0.2954, total=8.7728
Eva[01/20]: 031/128, [============>                                     ],  24.22%, loss=0.2611, total=9.0339
Eva[01/20]: 032/128, [============>                                     ],  25.00%, loss=0.2347, total=9.2686
Eva[01/20]: 033/128, [============>                                     ],  25.78%, loss=0.2509, total=9.5195
Eva[01/20]: 034/128, [=============>                                    ],  26.56%, loss=0.3050, total=9.8245
Eva[01/20]: 035/128, [=============>                                    ],  27.34%, loss=0.2466, total=10.0710
Eva[01/20]: 036/128, [==============>                                   ],  28.12%, loss=0.2906, total=10.3616
Eva[01/20]: 037/128, [==============>                                   ],  28.91%, loss=0.3414, total=10.7031
Eva[01/20]: 038/128, [==============>                                   ],  29.69%, loss=0.3050, total=11.0080
Eva[01/20]: 039/128, [===============>                                  ],  30.47%, loss=0.2587, total=11.2668
Eva[01/20]: 040/128, [===============>                                  ],  31.25%, loss=0.2306, total=11.4974
Eva[01/20]: 041/128, [================>                                 ],  32.03%, loss=0.2724, total=11.7698
Eva[01/20]: 042/128, [================>                                 ],  32.81%, loss=0.3409, total=12.1106
Eva[01/20]: 043/128, [================>                                 ],  33.59%, loss=0.2719, total=12.3826
Eva[01/20]: 044/128, [=================>                                ],  34.38%, loss=0.3411, total=12.7237
Eva[01/20]: 045/128, [=================>                                ],  35.16%, loss=0.2254, total=12.9490
Eva[01/20]: 046/128, [=================>                                ],  35.94%, loss=0.2753, total=13.2244
Eva[01/20]: 047/128, [==================>                               ],  36.72%, loss=0.3397, total=13.5640
Eva[01/20]: 048/128, [==================>                               ],  37.50%, loss=0.2882, total=13.8522
Eva[01/20]: 049/128, [===================>                              ],  38.28%, loss=0.2064, total=14.0586
Eva[01/20]: 050/128, [===================>                              ],  39.06%, loss=0.2432, total=14.3017
Eva[01/20]: 051/128, [===================>                              ],  39.84%, loss=0.2955, total=14.5972
Eva[01/20]: 052/128, [====================>                             ],  40.62%, loss=0.2598, total=14.8570
Eva[01/20]: 053/128, [====================>                             ],  41.41%, loss=0.2226, total=15.0796
Eva[01/20]: 054/128, [=====================>                            ],  42.19%, loss=0.2085, total=15.2881
Eva[01/20]: 055/128, [=====================>                            ],  42.97%, loss=0.2784, total=15.5664
Eva[01/20]: 056/128, [=====================>                            ],  43.75%, loss=0.3066, total=15.8730
Eva[01/20]: 057/128, [======================>                           ],  44.53%, loss=0.2217, total=16.0948
Eva[01/20]: 058/128, [======================>                           ],  45.31%, loss=0.2240, total=16.3188
Eva[01/20]: 059/128, [=======================>                          ],  46.09%, loss=0.2378, total=16.5566
Eva[01/20]: 060/128, [=======================>                          ],  46.88%, loss=0.2382, total=16.7948
Eva[01/20]: 061/128, [=======================>                          ],  47.66%, loss=0.2230, total=17.0178
Eva[01/20]: 062/128, [========================>                         ],  48.44%, loss=0.2078, total=17.2256
Eva[01/20]: 063/128, [========================>                         ],  49.22%, loss=0.2946, total=17.5202
Eva[01/20]: 064/128, [=========================                         ],  50.00%, loss=0.2934, total=17.8136
Eva[01/20]: 065/128, [=========================>                        ],  50.78%, loss=0.2506, total=18.0641
Eva[01/20]: 066/128, [=========================>                        ],  51.56%, loss=0.3013, total=18.3655
Eva[01/20]: 067/128, [==========================>                       ],  52.34%, loss=0.2088, total=18.5743
Eva[01/20]: 068/128, [==========================>                       ],  53.12%, loss=0.3517, total=18.9260
Eva[01/20]: 069/128, [==========================>                       ],  53.91%, loss=0.2702, total=19.1961
Eva[01/20]: 070/128, [===========================>                      ],  54.69%, loss=0.2516, total=19.4477
Eva[01/20]: 071/128, [===========================>                      ],  55.47%, loss=0.2392, total=19.6869
Eva[01/20]: 072/128, [============================>                     ],  56.25%, loss=0.2367, total=19.9236
Eva[01/20]: 073/128, [============================>                     ],  57.03%, loss=0.3745, total=20.2981
Eva[01/20]: 074/128, [============================>                     ],  57.81%, loss=0.2707, total=20.5689
Eva[01/20]: 075/128, [=============================>                    ],  58.59%, loss=0.1951, total=20.7640
Eva[01/20]: 076/128, [=============================>                    ],  59.38%, loss=0.2265, total=20.9905
Eva[01/20]: 077/128, [==============================>                   ],  60.16%, loss=0.2126, total=21.2032
Eva[01/20]: 078/128, [==============================>                   ],  60.94%, loss=0.2518, total=21.4549
Eva[01/20]: 079/128, [==============================>                   ],  61.72%, loss=0.2409, total=21.6959
Eva[01/20]: 080/128, [===============================>                  ],  62.50%, loss=0.4102, total=22.1060
Eva[01/20]: 081/128, [===============================>                  ],  63.28%, loss=0.2246, total=22.3306
Eva[01/20]: 082/128, [================================>                 ],  64.06%, loss=0.2637, total=22.5943
Eva[01/20]: 083/128, [================================>                 ],  64.84%, loss=0.1977, total=22.7920
Eva[01/20]: 084/128, [================================>                 ],  65.62%, loss=0.2378, total=23.0298
Eva[01/20]: 085/128, [=================================>                ],  66.41%, loss=0.2263, total=23.2561
Eva[01/20]: 086/128, [=================================>                ],  67.19%, loss=0.2844, total=23.5405
Eva[01/20]: 087/128, [=================================>                ],  67.97%, loss=0.2461, total=23.7865
Eva[01/20]: 088/128, [==================================>               ],  68.75%, loss=0.2472, total=24.0337
Eva[01/20]: 089/128, [==================================>               ],  69.53%, loss=0.2373, total=24.2711
Eva[01/20]: 090/128, [===================================>              ],  70.31%, loss=0.2589, total=24.5300
Eva[01/20]: 091/128, [===================================>              ],  71.09%, loss=0.2669, total=24.7969
Eva[01/20]: 092/128, [===================================>              ],  71.88%, loss=0.3068, total=25.1037
Eva[01/20]: 093/128, [====================================>             ],  72.66%, loss=0.2365, total=25.3402
Eva[01/20]: 094/128, [====================================>             ],  73.44%, loss=0.2438, total=25.5840
Eva[01/20]: 095/128, [=====================================>            ],  74.22%, loss=0.3186, total=25.9026
Eva[01/20]: 096/128, [=====================================>            ],  75.00%, loss=0.2555, total=26.1582
Eva[01/20]: 097/128, [=====================================>            ],  75.78%, loss=0.2663, total=26.4244
Eva[01/20]: 098/128, [======================================>           ],  76.56%, loss=0.2511, total=26.6756
Eva[01/20]: 099/128, [======================================>           ],  77.34%, loss=0.2620, total=26.9376
Eva[01/20]: 100/128, [=======================================>          ],  78.12%, loss=0.3526, total=27.2901
Eva[01/20]: 101/128, [=======================================>          ],  78.91%, loss=0.2569, total=27.5471
Eva[01/20]: 102/128, [=======================================>          ],  79.69%, loss=0.2698, total=27.8169
Eva[01/20]: 103/128, [========================================>         ],  80.47%, loss=0.3136, total=28.1304
Eva[01/20]: 104/128, [========================================>         ],  81.25%, loss=0.2932, total=28.4236
Eva[01/20]: 105/128, [=========================================>        ],  82.03%, loss=0.3213, total=28.7449
Eva[01/20]: 106/128, [=========================================>        ],  82.81%, loss=0.3311, total=29.0760
Eva[01/20]: 107/128, [=========================================>        ],  83.59%, loss=0.2586, total=29.3346
Eva[01/20]: 108/128, [==========================================>       ],  84.38%, loss=0.2480, total=29.5826
Eva[01/20]: 109/128, [==========================================>       ],  85.16%, loss=0.2887, total=29.8713
Eva[01/20]: 110/128, [==========================================>       ],  85.94%, loss=0.2899, total=30.1612
Eva[01/20]: 111/128, [===========================================>      ],  86.72%, loss=0.2254, total=30.3867
Eva[01/20]: 112/128, [===========================================>      ],  87.50%, loss=0.2331, total=30.6198
Eva[01/20]: 113/128, [============================================>     ],  88.28%, loss=0.2091, total=30.8289
Eva[01/20]: 114/128, [============================================>     ],  89.06%, loss=0.3143, total=31.1432
Eva[01/20]: 115/128, [============================================>     ],  89.84%, loss=0.2872, total=31.4304
Eva[01/20]: 116/128, [=============================================>    ],  90.62%, loss=0.2992, total=31.7296
Eva[01/20]: 117/128, [=============================================>    ],  91.41%, loss=0.2376, total=31.9672
Eva[01/20]: 118/128, [==============================================>   ],  92.19%, loss=0.2549, total=32.2221
Eva[01/20]: 119/128, [==============================================>   ],  92.97%, loss=0.2435, total=32.4656
Eva[01/20]: 120/128, [==============================================>   ],  93.75%, loss=0.2665, total=32.7321
Eva[01/20]: 121/128, [===============================================>  ],  94.53%, loss=0.2618, total=32.9939
Eva[01/20]: 122/128, [===============================================>  ],  95.31%, loss=0.3166, total=33.3106
Eva[01/20]: 123/128, [================================================> ],  96.09%, loss=0.3341, total=33.6447
Eva[01/20]: 124/128, [================================================> ],  96.88%, loss=0.2053, total=33.8500
Eva[01/20]: 125/128, [================================================> ],  97.66%, loss=0.2304, total=34.0804
Eva[01/20]: 126/128, [=================================================>],  98.44%, loss=0.2492, total=34.3296
Eva[01/20]: 127/128, [=================================================>],  99.22%, loss=0.2726, total=34.6022
Eva[01/20]: 128/128, [==================================================], 100.00%, loss=0.3454, total=34.9476
Eva[01/20]: 128/128, [==================================================], 100.00%, loss=0.2730

Train[01/20]: 001/512, [>                                                 ],   0.20%, loss=0.2075, total=0.2075
Train[01/20]: 002/512, [>                                                 ],   0.39%, loss=0.2265, total=0.4340
Train[01/20]: 003/512, [>                                                 ],   0.59%, loss=0.2331, total=0.6672
Train[01/20]: 004/512, [>                                                 ],   0.78%, loss=0.2043, total=0.8715
Train[01/20]: 005/512, [>                                                 ],   0.98%, loss=0.2187, total=1.0902
Train[01/20]: 006/512, [>                                                 ],   1.17%, loss=0.2137, total=1.3039
Train[01/20]: 007/512, [>                                                 ],   1.37%, loss=0.2014, total=1.5053
Train[01/20]: 008/512, [>                                                 ],   1.56%, loss=0.1450, total=1.6503
Train[01/20]: 009/512, [>                                                 ],   1.76%, loss=0.2034, total=1.8537
Train[01/20]: 010/512, [>                                                 ],   1.95%, loss=0.2040, total=2.0577
Train[01/20]: 011/512, [=>                                                ],   2.15%, loss=0.2106, total=2.2683
Train[01/20]: 012/512, [=>                                                ],   2.34%, loss=0.1918, total=2.4601
Train[01/20]: 013/512, [=>                                                ],   2.54%, loss=0.2382, total=2.6982
Train[01/20]: 014/512, [=>                                                ],   2.73%, loss=0.2213, total=2.9196
Train[01/20]: 015/512, [=>                                                ],   2.93%, loss=0.2007, total=3.1202
Train[01/20]: 016/512, [=>                                                ],   3.12%, loss=0.2301, total=3.3504
Train[01/20]: 017/512, [=>                                                ],   3.32%, loss=0.2453, total=3.5957
Train[01/20]: 018/512, [=>                                                ],   3.52%, loss=0.1979, total=3.7936
Train[01/20]: 019/512, [=>                                                ],   3.71%, loss=0.1763, total=3.9700
Train[01/20]: 020/512, [=>                                                ],   3.91%, loss=0.1774, total=4.1473
Train[01/20]: 021/512, [==>                                               ],   4.10%, loss=0.2165, total=4.3639
Train[01/20]: 022/512, [==>                                               ],   4.30%, loss=0.2041, total=4.5680
Train[01/20]: 023/512, [==>                                               ],   4.49%, loss=0.2352, total=4.8032
Train[01/20]: 024/512, [==>                                               ],   4.69%, loss=0.1868, total=4.9900
Train[01/20]: 025/512, [==>                                               ],   4.88%, loss=0.2052, total=5.1952
Train[01/20]: 026/512, [==>                                               ],   5.08%, loss=0.2498, total=5.4449
Train[01/20]: 027/512, [==>                                               ],   5.27%, loss=0.1996, total=5.6445
Train[01/20]: 028/512, [==>                                               ],   5.47%, loss=0.1802, total=5.8247
Train[01/20]: 029/512, [==>                                               ],   5.66%, loss=0.1882, total=6.0130
Train[01/20]: 030/512, [==>                                               ],   5.86%, loss=0.2155, total=6.2285
Train[01/20]: 031/512, [===>                                              ],   6.05%, loss=0.2353, total=6.4638
Train[01/20]: 032/512, [===>                                              ],   6.25%, loss=0.2039, total=6.6677
Train[01/20]: 033/512, [===>                                              ],   6.45%, loss=0.1899, total=6.8577
Train[01/20]: 034/512, [===>                                              ],   6.64%, loss=0.2368, total=7.0944
Train[01/20]: 035/512, [===>                                              ],   6.84%, loss=0.1429, total=7.2373
Train[01/20]: 036/512, [===>                                              ],   7.03%, loss=0.2417, total=7.4791
Train[01/20]: 037/512, [===>                                              ],   7.23%, loss=0.1927, total=7.6718
Train[01/20]: 038/512, [===>                                              ],   7.42%, loss=0.2068, total=7.8786
Train[01/20]: 039/512, [===>                                              ],   7.62%, loss=0.1840, total=8.0626
Train[01/20]: 040/512, [===>                                              ],   7.81%, loss=0.1765, total=8.2391
Train[01/20]: 041/512, [====>                                             ],   8.01%, loss=0.1560, total=8.3951
Train[01/20]: 042/512, [====>                                             ],   8.20%, loss=0.1889, total=8.5840
Train[01/20]: 043/512, [====>                                             ],   8.40%, loss=0.2280, total=8.8120
Train[01/20]: 044/512, [====>                                             ],   8.59%, loss=0.1945, total=9.0064
Train[01/20]: 045/512, [====>                                             ],   8.79%, loss=0.1849, total=9.1913
Train[01/20]: 046/512, [====>                                             ],   8.98%, loss=0.1974, total=9.3887
Train[01/20]: 047/512, [====>                                             ],   9.18%, loss=0.1772, total=9.5659
