[Arguments] => mode: train, epoches: 10, batch: 8, load: None, save: first


Eva[01/10]: 001/128, [>                                                 ],   0.78%, loss=12.5298, total=12.5298
Eva[01/10]: 002/128, [>                                                 ],   1.56%, loss=10.9200, total=23.4498
Eva[01/10]: 003/128, [=>                                                ],   2.34%, loss=9.1696, total=32.6194
Eva[01/10]: 004/128, [=>                                                ],   3.12%, loss=14.8803, total=47.4997
Eva[01/10]: 005/128, [=>                                                ],   3.91%, loss=16.1988, total=63.6985
Eva[01/10]: 006/128, [==>                                               ],   4.69%, loss=14.5441, total=78.2426
Eva[01/10]: 007/128, [==>                                               ],   5.47%, loss=10.4807, total=88.7233
Eva[01/10]: 008/128, [===>                                              ],   6.25%, loss=13.0776, total=101.8009
Eva[01/10]: 009/128, [===>                                              ],   7.03%, loss=14.4504, total=116.2513
Eva[01/10]: 010/128, [===>                                              ],   7.81%, loss=10.9048, total=127.1561
Eva[01/10]: 011/128, [====>                                             ],   8.59%, loss=14.3502, total=141.5063
Eva[01/10]: 012/128, [====>                                             ],   9.38%, loss=13.5155, total=155.0218
Eva[01/10]: 013/128, [=====>                                            ],  10.16%, loss=10.7708, total=165.7927
Eva[01/10]: 014/128, [=====>                                            ],  10.94%, loss=12.5786, total=178.3713
Eva[01/10]: 015/128, [=====>                                            ],  11.72%, loss=12.5806, total=190.9519
Eva[01/10]: 016/128, [======>                                           ],  12.50%, loss=11.1501, total=202.1020
Eva[01/10]: 017/128, [======>                                           ],  13.28%, loss=10.8138, total=212.9158
Eva[01/10]: 018/128, [=======>                                          ],  14.06%, loss=15.2852, total=228.2010
Eva[01/10]: 019/128, [=======>                                          ],  14.84%, loss=12.1010, total=240.3020
Eva[01/10]: 020/128, [=======>                                          ],  15.62%, loss=17.4482, total=257.7502
Eva[01/10]: 021/128, [========>                                         ],  16.41%, loss=13.5600, total=271.3102
Eva[01/10]: 022/128, [========>                                         ],  17.19%, loss=11.2962, total=282.6064
Eva[01/10]: 023/128, [========>                                         ],  17.97%, loss=13.2183, total=295.8247
Eva[01/10]: 024/128, [=========>                                        ],  18.75%, loss=16.0710, total=311.8957
Eva[01/10]: 025/128, [=========>                                        ],  19.53%, loss=14.3744, total=326.2701
Eva[01/10]: 026/128, [==========>                                       ],  20.31%, loss=12.8208, total=339.0909
Eva[01/10]: 027/128, [==========>                                       ],  21.09%, loss=12.5817, total=351.6726
Eva[01/10]: 028/128, [==========>                                       ],  21.88%, loss=12.4858, total=364.1585
Eva[01/10]: 029/128, [===========>                                      ],  22.66%, loss=17.1208, total=381.2793
Eva[01/10]: 030/128, [===========>                                      ],  23.44%, loss=11.9408, total=393.2201
Eva[01/10]: 031/128, [============>                                     ],  24.22%, loss=13.0380, total=406.2581
Eva[01/10]: 032/128, [============>                                     ],  25.00%, loss=12.0618, total=418.3199
Eva[01/10]: 033/128, [============>                                     ],  25.78%, loss=13.7864, total=432.1063
Eva[01/10]: 034/128, [=============>                                    ],  26.56%, loss=11.6492, total=443.7555
Eva[01/10]: 035/128, [=============>                                    ],  27.34%, loss=10.1611, total=453.9167
Eva[01/10]: 036/128, [==============>                                   ],  28.12%, loss=13.4729, total=467.3896
Eva[01/10]: 037/128, [==============>                                   ],  28.91%, loss=10.7382, total=478.1278
Eva[01/10]: 038/128, [==============>                                   ],  29.69%, loss=12.2252, total=490.3531
Eva[01/10]: 039/128, [===============>                                  ],  30.47%, loss=9.1917, total=499.5448
Eva[01/10]: 040/128, [===============>                                  ],  31.25%, loss=12.4337, total=511.9785
Eva[01/10]: 041/128, [================>                                 ],  32.03%, loss=12.1856, total=524.1641
Eva[01/10]: 042/128, [================>                                 ],  32.81%, loss=13.7203, total=537.8844
Eva[01/10]: 043/128, [================>                                 ],  33.59%, loss=10.7812, total=548.6656
Eva[01/10]: 044/128, [=================>                                ],  34.38%, loss=11.9857, total=560.6514
Eva[01/10]: 045/128, [=================>                                ],  35.16%, loss=11.8228, total=572.4741
Eva[01/10]: 046/128, [=================>                                ],  35.94%, loss=12.1313, total=584.6054
Eva[01/10]: 047/128, [==================>                               ],  36.72%, loss=12.2784, total=596.8839
Eva[01/10]: 048/128, [==================>                               ],  37.50%, loss=12.6206, total=609.5044
Eva[01/10]: 049/128, [===================>                              ],  38.28%, loss=13.2685, total=622.7729
Eva[01/10]: 050/128, [===================>                              ],  39.06%, loss=13.7813, total=636.5542
Eva[01/10]: 051/128, [===================>                              ],  39.84%, loss=10.6805, total=647.2347
Eva[01/10]: 052/128, [====================>                             ],  40.62%, loss=10.3377, total=657.5725
Eva[01/10]: 053/128, [====================>                             ],  41.41%, loss=12.7776, total=670.3501
Eva[01/10]: 054/128, [=====================>                            ],  42.19%, loss=14.4499, total=684.8000
Eva[01/10]: 055/128, [=====================>                            ],  42.97%, loss=13.5276, total=698.3276
Eva[01/10]: 056/128, [=====================>                            ],  43.75%, loss=14.7351, total=713.0627
Eva[01/10]: 057/128, [======================>                           ],  44.53%, loss=11.0350, total=724.0977
Eva[01/10]: 058/128, [======================>                           ],  45.31%, loss=12.9369, total=737.0346
Eva[01/10]: 059/128, [=======================>                          ],  46.09%, loss=13.4897, total=750.5244
Eva[01/10]: 060/128, [=======================>                          ],  46.88%, loss=15.3430, total=765.8674
Eva[01/10]: 061/128, [=======================>                          ],  47.66%, loss=18.3891, total=784.2565
Eva[01/10]: 062/128, [========================>                         ],  48.44%, loss=14.7996, total=799.0561
Eva[01/10]: 063/128, [========================>                         ],  49.22%, loss=13.2318, total=812.2879
Eva[01/10]: 064/128, [=========================                         ],  50.00%, loss=10.0349, total=822.3227
Eva[01/10]: 065/128, [=========================>                        ],  50.78%, loss=14.5856, total=836.9083
Eva[01/10]: 066/128, [=========================>                        ],  51.56%, loss=11.0127, total=847.9210
Eva[01/10]: 067/128, [==========================>                       ],  52.34%, loss=14.5362, total=862.4572
Eva[01/10]: 068/128, [==========================>                       ],  53.12%, loss=11.3752, total=873.8324
Eva[01/10]: 069/128, [==========================>                       ],  53.91%, loss=14.6840, total=888.5164
Eva[01/10]: 070/128, [===========================>                      ],  54.69%, loss=14.2834, total=902.7998
Eva[01/10]: 071/128, [===========================>                      ],  55.47%, loss=15.5000, total=918.2998
Eva[01/10]: 072/128, [============================>                     ],  56.25%, loss=12.6037, total=930.9035
Eva[01/10]: 073/128, [============================>                     ],  57.03%, loss=14.0624, total=944.9658
Eva[01/10]: 074/128, [============================>                     ],  57.81%, loss=14.2904, total=959.2562
Eva[01/10]: 075/128, [=============================>                    ],  58.59%, loss=16.6569, total=975.9132
Eva[01/10]: 076/128, [=============================>                    ],  59.38%, loss=11.1365, total=987.0497
Eva[01/10]: 077/128, [==============================>                   ],  60.16%, loss=14.7712, total=1001.8209
Eva[01/10]: 078/128, [==============================>                   ],  60.94%, loss=17.3033, total=1019.1242
Eva[01/10]: 079/128, [==============================>                   ],  61.72%, loss=14.6290, total=1033.7532
Eva[01/10]: 080/128, [===============================>                  ],  62.50%, loss=13.3858, total=1047.1391
Eva[01/10]: 081/128, [===============================>                  ],  63.28%, loss=14.8178, total=1061.9569
Eva[01/10]: 082/128, [================================>                 ],  64.06%, loss=11.7946, total=1073.7514
Eva[01/10]: 083/128, [================================>                 ],  64.84%, loss=13.6060, total=1087.3575
Eva[01/10]: 084/128, [================================>                 ],  65.62%, loss=11.5735, total=1098.9309
Eva[01/10]: 085/128, [=================================>                ],  66.41%, loss=11.2549, total=1110.1858
Eva[01/10]: 086/128, [=================================>                ],  67.19%, loss=13.3014, total=1123.4872
Eva[01/10]: 087/128, [=================================>                ],  67.97%, loss=11.6186, total=1135.1057
Eva[01/10]: 088/128, [==================================>               ],  68.75%, loss=10.8825, total=1145.9882
Eva[01/10]: 089/128, [==================================>               ],  69.53%, loss=13.3474, total=1159.3356
Eva[01/10]: 090/128, [===================================>              ],  70.31%, loss=11.7439, total=1171.0795
Eva[01/10]: 091/128, [===================================>              ],  71.09%, loss=12.8989, total=1183.9784
Eva[01/10]: 092/128, [===================================>              ],  71.88%, loss=12.4585, total=1196.4368
Eva[01/10]: 093/128, [====================================>             ],  72.66%, loss=13.4359, total=1209.8727
Eva[01/10]: 094/128, [====================================>             ],  73.44%, loss=10.7155, total=1220.5883
Eva[01/10]: 095/128, [=====================================>            ],  74.22%, loss=10.6979, total=1231.2861
Eva[01/10]: 096/128, [=====================================>            ],  75.00%, loss=11.9322, total=1243.2183
Eva[01/10]: 097/128, [=====================================>            ],  75.78%, loss=9.7459, total=1252.9642
Eva[01/10]: 098/128, [======================================>           ],  76.56%, loss=16.1150, total=1269.0791
Eva[01/10]: 099/128, [======================================>           ],  77.34%, loss=11.6556, total=1280.7348
Eva[01/10]: 100/128, [=======================================>          ],  78.12%, loss=15.5406, total=1296.2754
Eva[01/10]: 101/128, [=======================================>          ],  78.91%, loss=11.1001, total=1307.3755
Eva[01/10]: 102/128, [=======================================>          ],  79.69%, loss=12.6445, total=1320.0200
Eva[01/10]: 103/128, [========================================>         ],  80.47%, loss=14.3340, total=1334.3539
Eva[01/10]: 104/128, [========================================>         ],  81.25%, loss=13.9270, total=1348.2809
Eva[01/10]: 105/128, [=========================================>        ],  82.03%, loss=13.4491, total=1361.7300
Eva[01/10]: 106/128, [=========================================>        ],  82.81%, loss=13.3413, total=1375.0713
Eva[01/10]: 107/128, [=========================================>        ],  83.59%, loss=13.4676, total=1388.5390
Eva[01/10]: 108/128, [==========================================>       ],  84.38%, loss=10.8627, total=1399.4017
Eva[01/10]: 109/128, [==========================================>       ],  85.16%, loss=12.6657, total=1412.0673
Eva[01/10]: 110/128, [==========================================>       ],  85.94%, loss=11.0112, total=1423.0785
Eva[01/10]: 111/128, [===========================================>      ],  86.72%, loss=11.2056, total=1434.2841
Eva[01/10]: 112/128, [===========================================>      ],  87.50%, loss=12.9418, total=1447.2259
Eva[01/10]: 113/128, [============================================>     ],  88.28%, loss=11.1491, total=1458.3750
Eva[01/10]: 114/128, [============================================>     ],  89.06%, loss=10.4482, total=1468.8233
Eva[01/10]: 115/128, [============================================>     ],  89.84%, loss=13.6955, total=1482.5188
Eva[01/10]: 116/128, [=============================================>    ],  90.62%, loss=12.9813, total=1495.5000
Eva[01/10]: 117/128, [=============================================>    ],  91.41%, loss=11.2316, total=1506.7316
Eva[01/10]: 118/128, [==============================================>   ],  92.19%, loss=10.8895, total=1517.6210
Eva[01/10]: 119/128, [==============================================>   ],  92.97%, loss=12.6917, total=1530.3128
Eva[01/10]: 120/128, [==============================================>   ],  93.75%, loss=13.8836, total=1544.1963
Eva[01/10]: 121/128, [===============================================>  ],  94.53%, loss=12.5967, total=1556.7931
Eva[01/10]: 122/128, [===============================================>  ],  95.31%, loss=10.1357, total=1566.9288
Eva[01/10]: 123/128, [================================================> ],  96.09%, loss=12.1952, total=1579.1240
Eva[01/10]: 124/128, [================================================> ],  96.88%, loss=13.1174, total=1592.2415
Eva[01/10]: 125/128, [================================================> ],  97.66%, loss=11.7506, total=1603.9921
Eva[01/10]: 126/128, [=================================================>],  98.44%, loss=9.5095, total=1613.5015
Eva[01/10]: 127/128, [=================================================>],  99.22%, loss=11.5448, total=1625.0464
Eva[01/10]: 128/128, [==================================================], 100.00%, loss=12.7644, total=1637.8108
Eva[01/10]: 128/128, [==================================================], 100.00%, loss=12.7954

Train[01/10]: 001/512, [>                                                 ],   0.20%, loss=11.1389, total=11.1389
Train[01/10]: 002/512, [>                                                 ],   0.39%, loss=6.8631, total=18.0020
Train[01/10]: 003/512, [>                                                 ],   0.59%, loss=4.6777, total=22.6797
Train[01/10]: 004/512, [>                                                 ],   0.78%, loss=3.8561, total=26.5358
Train[01/10]: 005/512, [>                                                 ],   0.98%, loss=3.6346, total=30.1704
Train[01/10]: 006/512, [>                                                 ],   1.17%, loss=3.6183, total=33.7887
Train[01/10]: 007/512, [>                                                 ],   1.37%, loss=3.3093, total=37.0980
Train[01/10]: 008/512, [>                                                 ],   1.56%, loss=2.9624, total=40.0604
Train[01/10]: 009/512, [>                                                 ],   1.76%, loss=3.0249, total=43.0854
Train[01/10]: 010/512, [>                                                 ],   1.95%, loss=2.9934, total=46.0787
Train[01/10]: 011/512, [=>                                                ],   2.15%, loss=2.8749, total=48.9536
Train[01/10]: 012/512, [=>                                                ],   2.34%, loss=2.9328, total=51.8864
Train[01/10]: 013/512, [=>                                                ],   2.54%, loss=2.8493, total=54.7356
Train[01/10]: 014/512, [=>                                                ],   2.73%, loss=2.5715, total=57.3071
Train[01/10]: 015/512, [=>                                                ],   2.93%, loss=2.7667, total=60.0739
Train[01/10]: 016/512, [=>                                                ],   3.12%, loss=2.7646, total=62.8385
Train[01/10]: 017/512, [=>                                                ],   3.32%, loss=2.6201, total=65.4586
Train[01/10]: 018/512, [=>                                                ],   3.52%, loss=2.5382, total=67.9968
Train[01/10]: 019/512, [=>                                                ],   3.71%, loss=2.5260, total=70.5227
Train[01/10]: 020/512, [=>                                                ],   3.91%, loss=2.4659, total=72.9886
Train[01/10]: 021/512, [==>                                               ],   4.10%, loss=2.4257, total=75.4143
Train[01/10]: 022/512, [==>                                               ],   4.30%, loss=2.3877, total=77.8020
Train[01/10]: 023/512, [==>                                               ],   4.49%, loss=2.4605, total=80.2625
Train[01/10]: 024/512, [==>                                               ],   4.69%, loss=2.2032, total=82.4657
Train[01/10]: 025/512, [==>                                               ],   4.88%, loss=2.1364, total=84.6021
Train[01/10]: 026/512, [==>                                               ],   5.08%, loss=2.4514, total=87.0536
Train[01/10]: 027/512, [==>                                               ],   5.27%, loss=2.3352, total=89.3888
Train[01/10]: 028/512, [==>                                               ],   5.47%, loss=2.4559, total=91.8448
Train[01/10]: 029/512, [==>                                               ],   5.66%, loss=2.1189, total=93.9637
Train[01/10]: 030/512, [==>                                               ],   5.86%, loss=2.4920, total=96.4556
Train[01/10]: 031/512, [===>                                              ],   6.05%, loss=2.3990, total=98.8547
